"label","r","p_value","p_value_corrected","significant"
"lh_bankssts",-0.169182958782806,1.55881239684825e-13,1.05999242985681e-11,"yes"
"lh_caudalanteriorcingulate",0.0037307883577277,0.871610583005696,59.2695196443873,"no"
"lh_caudalmiddlefrontal",-0.0121647754426238,0.598207204252798,40.6780898891903,"no"
"lh_cuneus",-0.178353582741127,6.77818732015517e-15,4.60916737770552e-13,"yes"
"lh_entorhinal",-0.185680500471139,4.98292857083068e-16,3.38839142816486e-14,"yes"
"lh_fusiform",-0.35561752784418,4.0244266355588e-57,2.73661011217999e-55,"yes"
"lh_inferiorparietal",-0.376121044560707,3.3063577419702e-64,2.24832326453974e-62,"yes"
"lh_inferiortemporal",-0.346890555780799,2.92403097291528e-54,1.98834106158239e-52,"yes"
"lh_isthmuscingulate",-0.190100019445749,9.50923032854298e-17,6.46627662340923e-15,"yes"
"lh_lateraloccipital",-0.310261186137746,3.29006712963874e-43,2.23724564815434e-41,"yes"
"lh_lateralorbitofrontal",-0.19289725768066,3.30133791227937e-17,2.24490978034997e-15,"yes"
"lh_lingual",-0.122948230704791,8.98009883338706e-08,6.1064672067032e-06,"yes"
"lh_medialorbitofrontal",-0.137400314610015,2.22629264947022e-09,1.51387900163975e-07,"yes"
"lh_middletemporal",-0.336281637064213,6.66428740608706e-51,4.5317154361392e-49,"yes"
"lh_parahippocampal",-0.1589156672541,4.26615833612567e-12,2.90098766856546e-10,"yes"
"lh_paracentral",-0.00874898902932514,0.704687043776363,47.9187189767927,"no"
"lh_parsopercularis",-0.202526681210963,7.63723096372675e-19,5.19331705533419e-17,"yes"
"lh_parsorbitalis",-0.0525887397076858,0.0226286077197531,1.53874532494321,"no"
"lh_parstriangularis",-0.069096363484956,0.00272884333221336,0.185561346590508,"no"
"lh_pericalcarine",-0.158961054963269,4.20615032114306e-12,2.86018221837728e-10,"yes"
"lh_postcentral",-0.0336779998701689,0.144483286373229,9.8248634733796,"no"
"lh_posteriorcingulate",-0.263812118550374,2.74612681985603e-31,1.8673662375021e-29,"yes"
"lh_precentral",-0.0163675117658597,0.478284145378911,32.523321885766,"no"
"lh_precuneus",-0.202284953360665,8.41452520312792e-19,5.72187713812699e-17,"yes"
"lh_rostralanteriorcingulate",-0.0652398272485412,0.00466774454879721,0.317406629318211,"no"
"lh_rostralmiddlefrontal",-0.247484826504941,1.27880356107907e-27,8.6958642153377e-26,"yes"
"lh_superiorfrontal",-0.158976862377865,4.18544577325093e-12,2.84610312581063e-10,"yes"
"lh_superiorparietal",-0.140958420292517,8.42092778491993e-10,5.72623089374555e-08,"yes"
"lh_superiortemporal",-0.37999930077036,1.31942507318133e-65,8.97209049763307e-64,"yes"
"lh_supramarginal",-0.339012863344423,9.37123315703117e-52,6.37243854678119e-50,"yes"
"lh_frontalpole",-0.0423171581350763,0.0666627477014513,4.53306684369869,"no"
"lh_temporalpole",-0.0447108997540631,0.0526498135026675,3.58018731818139,"no"
"lh_transversetemporal",-0.0966497114797097,2.71003893817355e-05,0.00184282647795801,"yes"
"lh_insula",-0.156177570819418,9.95149639648715e-12,6.76701754961126e-10,"yes"
"rh_bankssts",-0.182264081688254,1.69000866056579e-15,1.14920588918474e-13,"yes"
"rh_caudalanteriorcingulate",-0.0230416488468189,0.318151253407895,21.6342852317369,"no"
"rh_caudalmiddlefrontal",0.0662933430565951,0.00404159487091334,0.274828451222107,"no"
"rh_cuneus",-0.136203703866634,3.07027746152914e-09,2.08778867383981e-07,"yes"
"rh_entorhinal",-0.0549166659392703,0.0172793537173066,1.17499605277685,"no"
"rh_fusiform",-0.305227785148198,8.29924514976659e-42,5.64348670184128e-40,"yes"
"rh_inferiorparietal",-0.441878859307066,1.19736392825628e-90,8.1420747121427e-89,"yes"
"rh_inferiortemporal",-0.0835353982641329,0.000288992074148321,0.0196514610420858,"yes"
"rh_isthmuscingulate",-0.0798190868608466,0.000533837659477634,0.0363009608444791,"yes"
"rh_lateraloccipital",-0.236771420105486,2.35514650516321e-25,1.60149962351098e-23,"yes"
"rh_lateralorbitofrontal",-0.0450322016089412,0.0509712795508113,3.46604700945517,"no"
"rh_lingual",-0.130539369253654,1.35407446511875e-08,9.20770636280749e-07,"yes"
"rh_medialorbitofrontal",-0.0670554287635846,0.00363725235349506,0.247333160037664,"no"
"rh_middletemporal",-0.0308531881041668,0.181276571565519,12.3268068664553,"no"
"rh_parahippocampal",-0.129161801361763,1.92447865134378e-08,1.30864548291377e-06,"yes"
"rh_paracentral",-0.00695290206456213,0.763266915342827,51.9021502433122,"no"
"rh_parsopercularis",-0.0767520628582103,0.000869385458063019,0.0591182111482853,"no"
"rh_parsorbitalis",0.106670004324932,3.58631263005913e-06,0.000243869258844021,"yes"
"rh_parstriangularis",-0.0228078135442089,0.323088588877141,21.9700240436456,"no"
"rh_pericalcarine",-0.0728068228245003,0.00158811668762152,0.107991934758263,"no"
"rh_postcentral",-0.0471764119486424,0.0408791118811829,2.77977960792043,"no"
"rh_posteriorcingulate",-0.191354788268487,5.92810875871518e-17,4.03111395592632e-15,"yes"
"rh_precentral",0.00847326227092823,0.713576988710688,48.5232352323268,"no"
"rh_precuneus",-0.130346496273073,1.42270028544643e-08,9.67436194103572e-07,"yes"
"rh_rostralanteriorcingulate",0.0311120271351656,0.177640562412502,12.0795582440501,"no"
"rh_rostralmiddlefrontal",-0.0801766033323981,0.000503779742224867,0.034257022471291,"yes"
"rh_superiorfrontal",-0.106613941913119,3.62901263291512e-06,0.000246772859038228,"yes"
"rh_superiorparietal",-0.249406824627299,4.88244936602633e-28,3.3200655688979e-26,"yes"
"rh_superiortemporal",-0.14574184433433,2.19199751568432e-10,1.49055831066534e-08,"yes"
"rh_supramarginal",-0.274444828604512,8.07063191070341e-34,5.48802969927832e-32,"yes"
"rh_frontalpole",-0.0327496667579039,0.155884452686226,10.6001427826634,"no"
"rh_temporalpole",-0.0549809105665035,0.017148961193888,1.16612936118439,"no"
"rh_transversetemporal",-0.107408825164519,3.06667091102736e-06,0.00020853362194986,"yes"
"rh_insula",-0.163643709247431,9.54065343743087e-13,6.48764433745299e-11,"yes"
